,binary bipolar predictions,ground truths (tx),linear predictions
220,1,1.0,0.9984398
221,-1,-1.0,-1.0115594
222,1,1.0,0.9530014
223,-1,-1.0,-1.0232935
224,1,1.0,1.0135107
225,1,1.0,1.0102375
226,-1,-1.0,-0.97268665
227,1,1.0,1.0066026
228,-1,-1.0,-0.9942366
229,-1,-1.0,-1.0090178
230,-1,-1.0,-1.0073493
231,-1,-1.0,-0.98640823
232,1,1.0,0.93584096
233,-1,-1.0,-0.99154735
234,1,1.0,0.99201787
235,1,1.0,1.0386127
236,-1,-1.0,-0.9970379
237,-1,-1.0,-0.9871998
238,-1,-1.0,-0.9920397
239,-1,-1.0,-0.97529423
240,1,1.0,0.9716753
241,-1,-1.0,-1.0096592
242,-1,-1.0,-1.0328292
243,-1,-1.0,-1.0157263
244,-1,-1.0,-0.9940784
245,1,1.0,0.92533505
246,1,1.0,0.96559477
247,1,1.0,0.99604917
248,1,1.0,0.9870186
249,-1,-1.0,-0.5529324
250,1,1.0,1.0330204
251,1,1.0,0.8877721
252,-1,-1.0,-0.9802108
253,1,1.0,0.8587499
254,1,-1.0,0.3790041
255,1,1.0,0.092454284
256,-1,-1.0,-0.90091103
257,1,1.0,1.0153748
258,1,1.0,1.008108
259,-1,-1.0,-0.9989836
260,-1,-1.0,-0.9959682
261,-1,-1.0,-0.96710974
262,1,1.0,1.0309798
263,1,1.0,0.97759813
264,-1,-1.0,-0.9926338
265,-1,-1.0,-0.9766465
266,1,1.0,1.0882658
267,-1,-1.0,-0.9817678
268,1,1.0,1.0209987
269,1,1.0,1.0271549
270,-1,-1.0,-0.97085804
271,-1,-1.0,-0.9710184
272,1,1.0,0.98443115
273,-1,-1.0,-0.9703374
274,-1,-1.0,-0.97856194
275,1,1.0,0.9549402
276,-1,-1.0,-0.9917958
277,-1,-1.0,-1.0082229
278,-1,-1.0,-0.9793392
279,1,1.0,1.0279707
280,1,1.0,0.9964243
281,-1,-1.0,-1.000635
282,-1,-1.0,-0.99137473
283,-1,-1.0,-0.96861315
284,1,1.0,0.97981805
285,-1,-1.0,-0.9996386
286,-1,-1.0,-1.0180994
287,-1,-1.0,-0.9928544
288,1,1.0,0.955343
289,-1,-1.0,-1.0012206
290,-1,-1.0,-1.0384353
291,-1,-1.0,-0.9836265
292,1,1.0,1.0562996
293,1,1.0,0.9808762
294,-1,-1.0,-0.9677657
295,-1,-1.0,-0.95772004
296,1,1.0,1.0111979
297,1,1.0,1.0051423
298,-1,-1.0,-0.9955714
299,-1,-1.0,-0.9994366
300,-1,-1.0,-1.0166928
301,-1,-1.0,-1.0167829
302,-1,-1.0,-0.9905496
303,1,1.0,0.9372783
304,1,1.0,0.96058714
305,1,1.0,1.0242568
306,-1,-1.0,-0.99467474
307,-1,-1.0,-0.9532682
308,1,1.0,0.9923954
309,1,1.0,0.9811759
310,1,1.0,0.99526536
311,1,1.0,0.99778223
312,-1,-1.0,-0.9870694
313,1,1.0,1.0125697
314,-1,-1.0,-1.0425503
315,1,1.0,1.007902
316,1,1.0,1.0070895
317,-1,-1.0,-0.97205895
318,1,1.0,0.97590685
319,-1,-1.0,-0.9767078
320,-1,-1.0,-0.97587866
321,1,1.0,0.9856778
322,1,1.0,1.0179567
323,-1,-1.0,-0.9825588
324,-1,-1.0,-0.99170053
325,-1,-1.0,-0.9765093
326,1,1.0,0.96371067
327,-1,-1.0,-0.94659185
328,1,1.0,1.0376354
329,1,1.0,0.97053534
330,1,1.0,1.0001333
331,1,1.0,1.0333322
332,-1,-1.0,-0.98831207
333,-1,-1.0,-1.0187155
334,1,1.0,0.99388325
335,1,1.0,0.9971392
336,1,1.0,1.0040607
337,-1,-1.0,-0.9750612
338,1,1.0,0.99803126
339,1,1.0,1.0040659
340,-1,-1.0,-0.97971535
341,-1,-1.0,-0.9758687
342,1,1.0,0.9590902
343,-1,-1.0,-0.9811217
344,-1,-1.0,-1.0156927
345,-1,-1.0,-0.9945239
346,1,1.0,0.9083135
347,-1,-1.0,-1.0068516
348,-1,-1.0,-1.0352905
349,-1,-1.0,-1.0169467
350,-1,-1.0,-0.98976034
351,1,1.0,0.9553106
352,-1,-1.0,-0.99348766
353,-1,-1.0,-0.9911082
354,1,1.0,0.990162
355,1,1.0,0.9837282
356,1,1.0,1.003238
357,-1,-1.0,-0.99619806
358,-1,-1.0,-0.9839479
359,-1,-1.0,-0.98619735
360,1,1.0,0.9823437
361,1,1.0,0.99269116
362,1,1.0,1.0019562
363,-1,-1.0,-0.9850019
364,1,1.0,1.0621029
365,-1,-1.0,-1.0062819
366,1,1.0,0.99634624
367,1,1.0,0.9769534
368,1,1.0,0.9988055
369,-1,-1.0,-1.0215323
370,1,1.0,0.97289944
371,-1,-1.0,-0.983363
372,-1,-1.0,-0.96647006
373,1,1.0,0.95175534
374,-1,-1.0,-0.9721764
375,1,1.0,1.0396224
376,-1,-1.0,-0.97525024
377,-1,-1.0,-0.96782064
378,1,1.0,0.9744136
379,-1,-1.0,-0.9893964
380,-1,-1.0,-1.0172461
381,-1,-1.0,-0.9921898
382,1,1.0,0.9380711
383,-1,-1.0,-0.9898276
384,-1,-1.0,-0.98722494
385,1,1.0,0.9900779
386,1,1.0,0.97931576
387,1,1.0,1.0167202
388,-1,-1.0,-0.9967168
389,-1,-1.0,-0.9920342
390,-1,-1.0,-1.0084997
391,-1,-1.0,-1.0227289
392,-1,-1.0,-1.0404915
393,-1,-1.0,-1.0485101
394,-1,-1.0,-1.052172
395,-1,-1.0,-1.0461904
396,-1,-1.0,-1.0348029
397,1,1.0,0.9448873
398,-1,-1.0,-1.0128492
399,-1,-1.0,-0.9984342
400,1,1.0,0.9845284
401,-1,-1.0,-0.875381
402,-1,-1.0,-0.98038393
403,1,1.0,0.9546516
404,-1,-1.0,-0.8976903
405,1,1.0,1.3495358
406,-1,-1.0,-0.9563955
407,1,1.0,1.0046884
408,1,1.0,1.000785
409,-1,-1.0,-0.9839663
410,1,1.0,0.9998257
411,1,1.0,0.96545863
412,1,1.0,0.9888268
413,1,1.0,1.0011371
414,-1,-1.0,-1.0057006
415,-1,-1.0,-1.0033926
416,-1,-1.0,-1.0130134
417,-1,-1.0,-1.0298687
418,-1,-1.0,-1.0413215
419,-1,-1.0,-1.04873
420,-1,-1.0,-1.0383294
421,-1,-1.0,-1.0171702
422,1,1.0,0.89710736
423,-1,-1.0,-0.9626082
424,1,1.0,0.989233
425,1,1.0,0.9595165
426,1,1.0,0.98239076
427,1,1.0,0.98635906
428,1,1.0,1.0045605
429,-1,-1.0,-1.0031412
430,1,1.0,0.8841486
431,-1,-1.0,-1.0061904
432,-1,-1.0,-0.99627936
433,-1,-1.0,-0.96965766
434,1,1.0,0.9598162
435,1,1.0,0.96447587
436,1,1.0,0.9946517
437,1,1.0,1.0233684
438,-1,-1.0,-0.9955971
439,-1,-1.0,-0.9979664
440,-1,-1.0,-1.0132859
441,-1,-1.0,-1.0172087
442,-1,-1.0,-1.0357368
443,-1,-1.0,-1.0532247
444,-1,-1.0,-1.0433878
445,-1,-1.0,-1.0049758
446,1,1.0,0.9293536
447,1,1.0,0.95711267
448,1,1.0,0.9737375
449,-1,-1.0,-1.0313061
450,1,1.0,1.0495359
451,-1,-1.0,-0.9723974
452,-1,-1.0,-0.9607631
453,1,1.0,0.97818667
454,-1,-1.0,-1.0051677
455,1,1.0,1.0079169
456,1,1.0,1.0057222
457,-1,-1.0,-0.95984215
458,1,1.0,0.99489677
459,1,1.0,1.0147187
460,-1,-1.0,-0.97353786
461,1,1.0,0.9982971
462,1,1.0,1.0326387
463,-1,-1.0,-0.99821085
464,-1,-1.0,-0.99592996
465,-1,-1.0,-1.0087296
466,-1,-1.0,-1.027969
467,-1,-1.0,-1.0452791
468,-1,-1.0,-1.0495689
469,-1,-1.0,-1.049956
470,-1,-1.0,-1.053622
471,-1,-1.0,-1.0427871
472,-1,-1.0,-1.0180148
473,1,1.0,0.93039536
474,1,1.0,0.95228446
475,1,1.0,0.9936564
476,1,1.0,1.0114224
477,-1,-1.0,-0.9945446
478,-1,-1.0,-0.9897082
479,-1,-1.0,-0.9897553
480,-1,-1.0,-0.97429436
481,1,1.0,0.94497335
482,-1,-1.0,-1.0005201
483,-1,-1.0,-0.9954224
484,1,1.0,0.9317634
485,-1,-1.0,-0.9264915
486,1,1.0,1.017293
487,1,1.0,1.0293005
488,-1,-1.0,-0.9890832
489,-1,-1.0,-0.98938453
490,-1,-1.0,-1.0092442
491,-1,-1.0,-1.010242
492,-1,-1.0,-0.99827945
493,1,1.0,0.91896725
494,-1,-1.0,-1.0020463
495,-1,-1.0,-0.9978068
496,1,1.0,0.94729835
497,-1,-1.0,-0.8939157
498,1,1.0,1.0126735
499,1,1.0,1.0052121
500,-1,-1.0,-0.96231157
501,-1,-1.0,-0.97152364
502,1,1.0,0.9961511
503,1,1.0,0.98848045
504,1,1.0,0.99457395
505,1,1.0,1.017384
506,-1,-1.0,-1.0023842
507,-1,-1.0,-0.9903519
508,-1,-1.0,-1.003719
509,1,1.0,0.97663885
510,-1,-1.0,-0.98597205
511,-1,-1.0,-0.9933928
512,1,1.0,0.93643844
513,1,1.0,0.9953544
514,-1,-1.0,-0.9771523
515,-1,-1.0,-1.0100516
516,1,1.0,1.0043439
517,1,1.0,0.97636014
518,1,1.0,0.9993135
519,1,1.0,1.029005
520,-1,-1.0,-0.96677256
521,1,1.0,0.7377697
522,-1,-1.0,-1.034026
523,1,1.0,1.0076923
524,1,1.0,0.9783734
525,1,1.0,1.0185939
526,-1,-1.0,-0.99496317
527,-1,-1.0,-0.99286807
528,-1,-1.0,-0.97205704
529,1,1.0,0.9968183
530,-1,-1.0,-1.0320456
531,1,1.0,0.6550941
532,1,1.0,1.0012673
533,-1,-1.0,-0.899828
534,1,1.0,0.9953636
535,-1,-1.0,-0.985802
536,-1,-1.0,-0.9879581
537,-1,-1.0,-0.96936584
538,1,1.0,0.962749
539,1,1.0,0.9798291
540,1,1.0,1.0287775
541,-1,-1.0,-0.9878497
542,-1,-1.0,-0.98432434
543,-1,-1.0,-0.9563445
544,1,1.0,1.0205387
545,1,1.0,0.9934622
546,-1,-1.0,-1.005974
547,-1,-1.0,-0.9992753
548,-1,-1.0,-0.97242254
549,1,1.0,0.9676652
550,-1,-1.0,-1.002327
551,-1,-1.0,-1.0313156
552,-1,-1.0,-1.0278536
553,-1,-1.0,-1.031361
554,-1,-1.0,-1.0454968
555,-1,-1.0,-1.0493677
556,-1,-1.0,-1.0405294
557,-1,-1.0,-1.0146533
558,1,1.0,0.9170964
559,-1,-1.0,-0.99222195
560,1,1.0,0.9924197
561,1,1.0,0.96180314
562,1,1.0,0.97861665
563,-1,-1.0,-1.018788
564,1,1.0,1.2228912
565,-1,-1.0,-1.0440265
566,1,1.0,0.99536955
567,1,1.0,0.98296475
568,1,1.0,1.005341
569,-1,-1.0,-0.97089297
570,-1,-1.0,-1.009283
571,1,1.0,1.0084505
572,1,1.0,0.99282694
573,1,1.0,1.0108742
574,-1,-1.0,-0.9947475
575,-1,-1.0,-0.97876304
576,1,1.0,1.0491014
577,-1,-1.0,-0.9581924
578,1,1.0,1.0167221
579,1,1.0,0.9830706
580,1,1.0,0.9944656
581,1,1.0,1.0094078
582,-1,-1.0,-1.016016
583,1,1.0,1.0065378
584,1,1.0,0.96523273
585,1,1.0,1.011213
586,-1,-1.0,-1.0139508
587,-1,-1.0,-1.0310767
588,1,1.0,0.95063215
589,-1,-1.0,-0.9756562
590,-1,-1.0,-0.98018116
591,1,1.0,0.9450944
592,-1,-1.0,-0.9862287
593,-1,-1.0,-0.9851061
594,1,1.0,0.94597983
595,-1,-1.0,-0.99826825
596,1,1.0,1.0167994
597,1,1.0,0.995739
598,-1,-1.0,-0.9863761
599,-1,-1.0,-0.99099934
600,-1,-1.0,-1.0183526
601,-1,-1.0,-1.0217458
602,-1,-1.0,-1.0167192
603,-1,-1.0,-0.962499
604,1,1.0,0.8311824
605,-1,-1.0,-1.0026487
606,-1,-1.0,-0.8705591
607,1,1.0,0.8921181
608,1,1.0,1.0297688
609,-1,-1.0,-0.99692094
610,-1,-1.0,-1.0014359
611,-1,-1.0,-0.98787546
612,-1,-1.0,-0.9698213
613,1,1.0,0.92006373
614,1,1.0,0.99840844
615,-1,-1.0,-1.0206884
616,-1,-1.0,-0.9706089
617,1,1.0,1.0021943
618,1,1.0,0.9984462
619,-1,-1.0,-1.0311322
620,1,1.0,0.9959718
621,-1,-1.0,-0.97335875
622,-1,-1.0,-0.97451186
623,1,1.0,0.9265301
624,1,1.0,1.0034317
625,-1,-1.0,-0.93295276
626,-1,-1.0,-0.98778546
627,1,1.0,1.0036446
628,1,1.0,0.9920058
629,1,1.0,1.0009439
630,-1,-1.0,-0.9984296
631,-1,-1.0,-0.9715575
632,1,1.0,0.9939418
633,1,1.0,0.9838375
634,1,1.0,0.99485207
635,1,1.0,1.0030974
636,-1,-1.0,-0.9549304
637,1,1.0,1.1299511
638,-1,-1.0,-0.96315503
639,1,1.0,1.0026593
640,1,1.0,0.96975005
641,1,1.0,0.9932033
642,1,1.0,1.0045031
643,1,1.0,1.0240769
644,-1,-1.0,-0.99739516
645,-1,-1.0,-0.99334824
646,-1,-1.0,-0.9663822
647,1,1.0,1.009168
648,1,1.0,0.9878152
649,-1,-1.0,-1.0030271
650,-1,-1.0,-1.0028067
651,-1,-1.0,-1.0105565
652,-1,-1.0,-1.0164922
653,-1,-1.0,-1.0094519
654,1,1.0,0.9152248
655,1,1.0,0.9584686
656,1,1.0,0.9944968
657,-1,-1.0,-1.0084635
658,-1,-1.0,-0.96688384
659,1,1.0,1.0442163
660,-1,-1.0,-0.9868751
661,-1,-1.0,-1.0311308
662,-1,-1.0,-1.0200473
663,-1,-1.0,-0.99306977
664,1,1.0,0.94575894
665,-1,-1.0,-1.0165615
666,-1,-1.0,-1.0397044
667,-1,-1.0,-1.0160756
668,-1,-1.0,-0.9859602
669,1,1.0,0.99861443
670,-1,-1.0,-0.9038758
671,1,1.0,1.6769068
672,-1,-1.0,-0.95209897
673,1,1.0,1.0027534
674,1,1.0,0.9636105
675,1,1.0,0.9765229
676,1,1.0,0.99255717
677,1,1.0,0.99369466
678,1,1.0,0.9898986
679,-1,-1.0,-1.0545211
680,1,1.0,0.98436236
681,1,1.0,1.0103046
682,-1,-1.0,-1.002127
683,-1,-1.0,-0.9907999
684,-1,-1.0,-0.9660343
685,1,1.0,1.0026542
686,1,1.0,1.0099832
687,-1,-1.0,-1.0049627
688,-1,-1.0,-0.9918157
689,-1,-1.0,-0.9651432
690,1,1.0,1.0118084
691,1,1.0,1.0053355
692,-1,-1.0,-0.99848324
693,-1,-1.0,-1.0080434
694,-1,-1.0,-1.0005444
695,-1,-1.0,-0.98085487
696,1,1.0,0.90502954
697,-1,-1.0,-1.0120059
698,1,1.0,0.95839125
699,1,1.0,1.0039787
700,-1,-1.0,-0.96085656
701,-1,-1.0,-0.99396926
702,1,1.0,0.9953557
703,1,1.0,0.98908305
704,1,1.0,1.0022478
705,-1,-1.0,-0.98823327
706,-1,-1.0,-0.9981458
707,-1,-1.0,-1.0031447
708,-1,-1.0,-0.98076564
709,1,1.0,0.92391706
710,-1,-1.0,-1.0102749
711,-1,-1.0,-1.0333482
712,-1,-1.0,-0.9876983
713,1,1.0,0.94218147
714,1,1.0,0.97361296
715,1,1.0,0.9946438
716,1,1.0,0.996953
717,-1,-1.0,-0.97435385
718,1,1.0,1.1454228
719,-1,-1.0,-1.0426016
720,1,1.0,1.0040009
721,1,1.0,0.9799033
722,1,1.0,0.9971
723,-1,-1.0,-0.94547176
724,1,1.0,0.8370458
725,-1,-1.0,-0.5680732
726,1,1.0,0.07554245
727,1,-1.0,0.28941676
728,1,1.0,0.31629717
729,-1,-1.0,-0.02088092
730,1,1.0,0.97628677
731,-1,-1.0,-0.97241104
732,-1,-1.0,-0.97173685
733,1,1.0,0.9689039
734,-1,-1.0,-0.9914307
735,-1,-1.0,-1.0221
736,-1,-1.0,-1.0330969
737,-1,-1.0,-1.0270871
738,-1,-1.0,-1.0235025
739,-1,-1.0,-0.9974319
740,1,1.0,0.9350308
741,1,1.0,0.9640273
742,1,1.0,0.9964566
743,-1,-1.0,-0.98754203
744,-1,-1.0,-0.9842783
745,-1,-1.0,-0.95849615
746,1,1.0,0.9919036
747,-1,-1.0,-0.98023397
748,-1,-1.0,-0.9858242
749,1,1.0,0.95413953
750,-1,-1.0,-0.9691661
751,1,1.0,1.0248603
752,1,1.0,1.0150663
753,-1,-1.0,-0.9910673
754,-1,-1.0,-0.9995854
755,-1,-1.0,-0.997759
756,-1,-1.0,-0.9474505
757,1,1.0,1.1001644
758,1,1.0,0.96893823
759,1,1.0,0.99922585
760,-1,-1.0,-0.9846003
761,1,1.0,0.98545486
762,1,1.0,0.9924865
763,-1,-1.0,-1.0640222
764,1,1.0,1.3224913
765,-1,-1.0,-1.0815951
766,1,1.0,1.0005482
767,1,1.0,0.975737
768,1,1.0,1.001192
769,-1,-1.0,-1.0633415
770,1,1.0,0.99081737
771,1,1.0,0.97132844
772,1,1.0,1.0110153
773,-1,-1.0,-0.9972304
774,-1,-1.0,-0.9903159
775,-1,-1.0,-0.9661536
776,1,1.0,0.9827182
777,1,1.0,0.98869014
778,1,1.0,1.0026077
779,-1,-1.0,-0.98159903
780,1,1.0,0.9862919
781,1,1.0,0.95807475
782,1,1.0,0.9844141
783,1,1.0,0.9931046
784,1,1.0,0.9967824
785,1,1.0,0.98854727
786,-1,-1.0,-1.048065
787,-1,-1.0,-0.99576056
788,-1,-1.0,-0.97675174
789,1,1.0,0.95552975
790,-1,-1.0,-0.99053395
791,1,1.0,1.0118147
792,1,1.0,0.9769319
793,1,1.0,1.0140136
794,-1,-1.0,-1.002134
795,-1,-1.0,-0.9596931
796,1,1.0,0.99063915
797,1,1.0,1.000927
798,-1,-1.0,-0.97396386
799,1,1.0,1.0174643
800,1,1.0,1.0048344
801,-1,-1.0,-0.9943733
802,1,1.0,0.9995295
803,1,1.0,1.0051132
804,-1,-1.0,-0.9949378
805,1,1.0,0.9979836
806,1,1.0,1.0090053
807,-1,-1.0,-0.95371
808,-1,-1.0,-0.97738165
809,1,1.0,1.0133399
810,-1,-1.0,-1.0032368
811,1,1.0,1.0016152
812,1,1.0,0.9773601
813,1,1.0,1.0206176
814,-1,-1.0,-0.9948698
815,-1,-1.0,-0.9503
816,1,1.0,1.0435711
817,1,1.0,1.0005082
818,-1,-1.0,-0.9722301
819,1,1.0,0.7110693
820,1,1.0,1.0089064
821,-1,-1.0,-0.97197723
822,1,1.0,1.1197528
823,-1,-1.0,-0.62749773
824,1,1.0,1.0043344
825,1,1.0,0.9773941
826,1,1.0,1.0259355
827,-1,-1.0,-1.0012076
828,-1,-1.0,-1.0026829
829,-1,-1.0,-1.0178107
830,-1,-1.0,-1.0195099
831,-1,-1.0,-0.99337554
832,1,1.0,0.9621686
833,1,1.0,0.9531901
834,-1,-1.0,-1.0325252
835,-1,-1.0,-0.9598361
836,1,1.0,0.92959225
837,1,1.0,1.0020053
838,-1,-1.0,-0.023038981
839,-1,-1.0,-0.96934354
840,1,1.0,0.83134365
841,-1,-1.0,-0.9671511
842,-1,-1.0,-0.97673625
843,1,1.0,0.90564895
844,1,1.0,1.0258512
845,1,-1.0,0.1325045
846,1,1.0,0.9919306
847,1,1.0,0.96602243
848,1,1.0,0.9997839
849,-1,-1.0,-1.0094675
850,1,1.0,1.01305
851,-1,-1.0,-1.006045
852,-1,-1.0,-0.9917097
853,-1,-1.0,-0.976559
854,1,1.0,1.0526572
855,1,1.0,0.9963341
856,-1,-1.0,-1.0367316
857,1,1.0,1.1357725
858,-1,-1.0,-0.9181966
859,1,1.0,0.9966608
860,1,1.0,0.9726404
861,1,1.0,0.9997829
862,-1,-1.0,-0.984883
863,1,1.0,0.9887141
864,1,1.0,0.9685075
865,1,1.0,0.99930537
866,-1,-1.0,-0.9919655
867,1,1.0,0.9929324
868,1,1.0,0.99780357
869,-1,-1.0,-1.10775
870,1,1.0,1.0023934
871,1,1.0,1.0025944
872,-1,-1.0,-0.96948516
873,-1,-1.0,-1.0019183
874,1,1.0,0.99732316
875,1,1.0,1.0063899
876,-1,-1.0,-0.9970901
877,1,1.0,0.9543934
878,-1,-1.0,-0.9906056
879,-1,-1.0,-0.9915589
880,-1,-1.0,-0.9716131
881,1,1.0,1.0001608
882,1,1.0,0.98263013
883,-1,-1.0,-1.0005392
884,1,1.0,1.0149132
885,1,1.0,0.96276766
886,1,1.0,0.9845357
887,1,1.0,0.9874467
888,1,1.0,0.989117
889,1,1.0,1.0109732
890,-1,-1.0,-1.0252347
891,-1,-1.0,-1.0051638
892,-1,-1.0,-1.0107886
893,-1,-1.0,-1.013525
894,-1,-1.0,-1.003491
895,1,1.0,0.91097546
896,-1,-1.0,-1.0211016
897,-1,-1.0,-1.0155287
898,1,1.0,0.9239956
899,1,1.0,1.0060848
900,-1,-1.0,-0.9880818
